subject	relation	object	roles	year_start	year_end	explicit	sources	evidence
Georg Curtius	other	Adalbert Kuhn	member of the same Kränzchen			True	Windisch GSP	In Berlin, wo er sich auch 1846 habilitierte, gehörte er zu dem Kränzchen von Weber, A. Kuhn, Aufrecht und Goldstücker
Georg Curtius	other	Albrecht Weber	member of the same Kränzchen			True	Windisch GSP	In Berlin, wo er sich auch 1846 habilitierte, gehörte er zu dem Kränzchen von Weber, A. Kuhn, Aufrecht und Goldstücker
Georg Curtius	other	Theodor Aufrecht	member of the same Kränzchen			True	Windisch GSP	In Berlin, wo er sich auch 1846 habilitierte, gehörte er zu dem Kränzchen von Weber, A. Kuhn, Aufrecht und Goldstücker
Georg Curtius	other	Theodor Goldstücker	member of the same Kränzchen			True	Windisch GSP	In Berlin, wo er sich auch 1846 habilitierte, gehörte er zu dem Kränzchen von Weber, A. Kuhn, Aufrecht und Goldstücker
Heinrich Roth	other	François Bernier	acquaintance			True	Windisch GSP	Wir erfahren von ihm durch seinen Zeitgenossen Bernier, der ihn in Indien kennen lernte.
Hermann Jacobi	other	Albrecht Weber	contributed to Festschrift for	1896	1896	True	Winternitz GIL 1	Jacobi, »Über den Śloka im Mahābhārata« (in »Gurupūjākaumudī, Festgabe zum 50jährigen Doktorjubiläum Albrecht Weber dargebr.«. Leipzig 1896, S. 50 ff.)
Hermann Jacobi	other	Theodor Aufrecht	Freund			True	Windisch GSP	Jacobi hat seinem Freunde, diesem unermüdlichen stillen Arbeiter, dessen Arbeit noch nicht ausgenutzt ist, ein schönes Denkmal gesetzt
Hermann Schlagintweit	other	Emil Schlagintweit	brother			True	Winternitz GIL 3	Hermann Schlagintweit (in dem Buch seines Bruders Emil Schlagintweit, Buddhism in Tibet, Leipzig und London 1863, S. 232 ff.)
Horace Hayman Wilson	other	Vans Kennedy	predecessor			True	Winternitz GIL 1	Einen Vorgänger hatte er an Vans Kennedy, Researches into the Nature and Affinity of Ancient and Hindu Mythology, London 1831.
Jean-Baptiste Tavernier	other	François Bernier	travel companion	1665	1665	True	Windisch GSP	Tavernier unternahm seine Reise von Agra nach Bengalen im Jahre 1665 in Gesellschaft von Bernier
Jean-Louis Burnouf	other	Eugène Burnouf	father			True	Windisch GSP	dem klassischen Philologen J. L. Burnouf, dem Vater E. Burnoufs
Jean-Louis Burnouf	other	Franz Bopp	friend			True	Windisch GSP	er gehörte auch zu den Freunden Bopps in Paris
Johann Gottfried Ludwig Kosegarten	other	Adolf Friedrich Stenzler	friend			True	Windisch GSP	Das ziemlich reiche handschriftliche Material verdankte er zum großen Teil seinen Freunden Tullberg und Stenzler.
Johann Gottfried Ludwig Kosegarten	other	Otto Fredrik Tullberg	friend			True	Windisch GSP	Das ziemlich reiche handschriftliche Material verdankte er zum großen Teil seinen Freunden Tullberg und Stenzler.
Johann Samuel Ith	other	Guillaume-Emmanuel-Joseph Guilhem de Clermont-Lodève, baron de Sainte-Croix	friend			True	Windisch GSP	Wir erfahren von ihm, daß der Baron de Sainte Croix, Mitglied der Académie des Inscriptions et Belles Lettres, mit dem er persönlich befreundet war, der Herausgeber des französischen Ezour-Veda war.
Johannes Gildemeister	other	Albert Hoefer	Polemik/Streitschrift	1840		True	Windisch GSP	Dies trug ihm Gildemeisters Streitschrift ein "Die falsche Sanskritphilologie, an dem Beispiel des Herrn Dr. Hoefer in Berlin aufgezeigt", Bonn 1840
Johannes Gildemeister	other	Niels Ludvig Westergaard	Freund			True	Windisch GSP	Für dieses benutzte er eine Kopenhagener und eine Tübinger Handschrift, erstere von seinem Freunde Westergaard, letztere von Goldstücker abgeschrieben.
Julius Mohl	other	Ferdinand d'Eckstein	acquaintance			True	Windisch GSP	Über den Baron Ferdinand d'Eckstein veröffentlichte J. Mohl, der ihn gut gekannt hatte, eine Notice biographique
Louis Poley	other	Friedrich Rosen	friend			True	Windisch GSP	Poley war mit Rosen befreundet
Monier Monier-Williams	other	Robert Needham Cust	friend			True	Windisch GSP	benutzte M. Williams auch einen Artikel seines Freundes R. N. Cust, of the Bengal Civil Service
Moriz Winternitz	other	Junjiro Takakusu	friend			True	Winternitz GIL 2	Mein Freund Prof. Takakusu, der die Autorschaft des Dichters Aṣvaghoṣa geradezu für ausgeschlossen hält, teilt mir mit
Moriz Winternitz	other	Leopold von Schroeder	dedicated his work to; friend			True	Winternitz GIL 2	mein lieber Freund Leopold von Schroeder, der es vor mehr als dreißig Jahren unternommen hat, eine Geschichte der indischen Litteratur und Kultur zu schreiben
Moriz Winternitz	other	Vijaya Dharma Suri	friend			True	Winternitz GIL 3	In Wehmut gedenke ich auch des stets hilfsbereiten Freundes, des Śāstraviśārada Jainācārya Vijayadharmasūri
Niels Ludvig Westergaard	other	Adolf Friedrich Stenzler	friend			True	Windisch GSP	Er gehört also zur Bonner Schule wie Brockhaus, Stenzler, Böhtlingk, mit denen er nahe befreundet war.
Niels Ludvig Westergaard	other	Hermann Brockhaus	friend			True	Windisch GSP	Er gehört also zur Bonner Schule wie Brockhaus, Stenzler, Böhtlingk, mit denen er nahe befreundet war.
Niels Ludvig Westergaard	other	Otto von Böhtlingk	friend			True	Windisch GSP	Er gehört also zur Bonner Schule wie Brockhaus, Stenzler, Böhtlingk, mit denen er nahe befreundet war.
Otto von Böhtlingk	other	Anton Schiefner	friend			True	Windisch GSP	Im Vorwort des 1. und des 7. Teils dankt Böhtlingk auch seinem Freunde Schiefner, der ihm Beiträge aus der nordbuddhistischen Literatur lieferte.
Otto von Böhtlingk	other	August Leskien	friend	1885		True	Windisch GSP	von 1885 an in Leipzig, wo ihm Leskien und Windisch besonders nahe standen.
Otto von Böhtlingk	other	Berthold Delbrück	friend			True	Windisch GSP	Drei, verschiedenen Generationen angehörende, hervorragende Freunde haben Böhtlingks wissenschaftliche Bedeutung und Persönlichkeit in übereinstimmender Weise charakterisiert: ... B. Delbrück...
Otto von Böhtlingk	other	Ernst Windisch	friend	1885		True	Windisch GSP	von 1885 an in Leipzig, wo ihm Leskien und Windisch besonders nahe standen.
Otto von Böhtlingk	other	Hendrik Kern	friend			True	Windisch GSP	Drei, verschiedenen Generationen angehörende, hervorragende Freunde haben Böhtlingks wissenschaftliche Bedeutung und Persönlichkeit in übereinstimmender Weise charakterisiert: H. Kern...
Otto von Böhtlingk	other	Hermann Brockhaus	friend			True	Windisch GSP	sondern wurde ihm übertragen von seinen Freunden Westergaard und Brockhaus, die beide in London handschriftliches Material zu einer Ausgabe gesammelt hatten.
Otto von Böhtlingk	other	Leopold von Schroeder	friend			True	Windisch GSP	Drei, verschiedenen Generationen angehörende, hervorragende Freunde haben Böhtlingks wissenschaftliche Bedeutung und Persönlichkeit in übereinstimmender Weise charakterisiert: ... L. v. Schroeder...
Otto von Böhtlingk	other	Niels Ludvig Westergaard	friend			True	Windisch GSP	sondern wurde ihm übertragen von seinen Freunden Westergaard und Brockhaus, die beide in London handschriftliches Material zu einer Ausgabe gesammelt hatten.
Otto von Böhtlingk	other	Theodor Goldstücker	opponent in controversy			True	Windisch GSP	Das Vorwort zum 5. Teil enthält eine Antwort auf Angriffe Goldstückers, ohne Namennennung
Pareshnath Sarma Kavibhushana	other	Avinash Chandra Kaviratna	son			True	Winternitz GIL 3	nach dessen Tode (1905) von seinem Sohn Pareshnath Sarma Kavibhushaṇa fortgesetzt
Paul Grimblot	other	Albrecht Weber	persönliche Beziehungen			True	Windisch GSP	Grimblot stand mit A. Weber in persönlichen Beziehungen.
Rabindranath Tagore	other	Debendranath Tagore	Sohn			True	Winternitz GIL 3	Ein Sohn dieses Devendranāth Tagore ist der im Jahre 1861 geborene Rabindranath Tagore
Reinhold Rost	other	Albrecht Weber	friend			True	Windisch GSP	Oft erwähnt Weber seinen Freund Reinhold Rost aus Eisenberg
Richard Pischel	other	Albrecht Weber	opponent in a controversy	1875		True	Windisch GSP; Winternitz GIL 3	Trotzdem brach sehr bald eine starke persönliche Polemik zwischen diesen beiden hervorragenden Gelehrten aus
Richard von Garbe	other	Ernst Windisch	dedicated book to	1914	1914	True	Windisch GSP	Garbe gibt in seinem Windisch gewidmeten Buche "Indien und das Christentum", Tübingen 1914, eine sehr dankenswerte kritische Untersuchung
Rudolf von Roth	other	Horace Hayman Wilson	dedicated work to			True	Windisch GSP	so war ihm doch jedenfalls Roths grundlegende, gleichfalls Wilson gewidmete Schrift vorausgegangen.
Theodor Benfey	other	Moritz Abraham Stern	friend			True	Windisch GSP	seinem Freunde dem Mathematiker M. A. Stern
Theodor Benfey	other	Rudolf von Roth	supported during printing			True	Windisch GSP	Beim Druck in Göttingen unterstützte ihn Benfey.
Theodor Goldstücker	other	Adalbert Kuhn	Sanskritkränzchen			True	Windisch GSP	hielt er sich längere Zeit in Berlin auf, wo er mit Weber und Kuhn ein Sanskritkränzchen hatte
Theodor Goldstücker	other	Albrecht Weber	Sanskritkränzchen			True	Windisch GSP	hielt er sich längere Zeit in Berlin auf, wo er mit Weber und Kuhn ein Sanskritkränzchen hatte
Thomas Seymour Burt	other	J. S. Burt	brother	1834	1834	True	Windisch GSP	von Lieut. T. S. Burt, Engineers", der von seinem Bruder Lieut. Burt unterstützt wurde
Vans Kennedy	other	Henry Thomas Colebrooke	opponent / critic in a treatise on Vedānta			True	Windisch GSP	macht auch auf eine, den Vedānta betreffende, Abhandlung (Transact. RAS. III 412) aufmerksam, die gegen Colebrooke gerichtet ist.
Vans Kennedy	other	Horace Hayman Wilson	opponent in controversy over the age and character of the Purāṇas	1840	1841	True	Windisch GSP	Diese ganze Anschauung Wilsons bekämpfte Vans Kennedy in einer Reihe von Briefen an den Editor des Journal der RAS., die daselbst 1840 und 1841 unter der Überschrift "On Professor Wilson's Theory respecting the Purāṇas" veröffentlicht worden sind
Walter Neisser	other	Friedrich Bollensen	persönliche Bekanntschaft / Verfasser des Nachrufs			True	Windisch GSP	W. Neisser hat ihm auf Grund persönlicher Bekanntschaft in Bezzenbergers Beiträgen XXIV 173-176 einen sympatischen Nachruf gewidmet.
Wilhelm Geiger	other	Rudolf Otto Franke	opponent in a controversy			True	Winternitz GIL 2	W. Geiger, Dīpavaṃsa und Mahāvaṃsa und die geschichtliche Überlieferung in Ceylon, Leipzig 1905 und ZDMG 63, 1909, 540 ff. gegen R. O. Franke
Wilhelm Pertsch	other	Albrecht Weber	friend			True	Windisch GSP	Ein Schüler und Freund Webers war auch der Gothaer Bibliothekar Wilhelm Pertsch
Wilhelm von Humboldt	other	Alexander von Humboldt	brother			True	Windisch GSP	der Bruder Alexander v. Humboldts widme sich jetzt mit dem größten Eifer dem Sanskrit
William Dwight Whitney	other	Friedrich Max Müller	scientific controversy			True	Windisch GSP	Whitney hat M. Müllers Bedeutung immer anerkannt, aber ihn namentlich auf sprachwissenschaftlichem Gebiete persönlich und sachlich scharf angegriffen
William Dwight Whitney	other	Otto von Böhtlingk	opponent in controversy over Panini	1893	1893	True	Windisch GSP	Böhtlingk nahm sich 'als alter Freund und Bewunderer Pāṇini's' in seinem Artikel 'Whitney's letzte Angriffe auf Pāṇini' des letzteren an, in den Berichten der K. Sächs. Gesellsch. d. W. 1893
Émile-Louis Burnouf	other	Eugène Burnouf	nephew			True	Windisch GSP	In einem Briefe an seinen Neffen Émile Burnouf vom 24. Februar 1851
Abel Bergaigne	position_at	École Pratique des Hautes Études	répétiteur			True	Windisch GSP	übersetzt von Bergaigne, répétiteur à l'École des Hautes Études
Abraham Hyacinthe Anquetil-Duperron	position_at	Académie des Inscriptions et Belles-Lettres	Mitglied			True	Windisch GSP	Anquetils Du Perron, Mitglied der Akademie der schönen Wissenschaften zu Paris
Abraham Hyacinthe Anquetil-Duperron	position_at	Paris (unspecified)	Dolmetscher der orientalischen Sprachen	1762		True	Windisch GSP	Im Jahre 1762 nach Paris zurückgekehrt, erhielt er das Amt eines Dolmetschers der orientalischen Sprachen
Abraham Rogerius	position_at	Dutch Reformed Church	Bedienaer des H. Evangelii / Missionar	1630	1647	True	Windisch GSP	der Missionar Abraham Roger, gestorben 1649, der 1630 bis 1647 in Pulicat (Paliacatta) auf der Küste Coromandel und in Batavia tätig war
Abraham Rogerius	position_at	Dutch Reformed Church in Pulicat	Prediger		1651	True	Windisch GSP; Winternitz GIL 1	öftere Erwähnung der Stadt Paliakatta, in der Roger tätig gewesen war
Adalbert Kuhn	position_at	Köllnisches Gymnasium	Direktor			True	Windisch GSP	Direktor des Köllnischen Gymnasiums zu Berlin Adalbert Kuhn, geboren 1812 in Königsberg, gestorben 1881 in Berlin.
Adolf Friedrich Stenzler	position_at	University of Breslau	Rektor	1863	1863	True	Windisch GSP	Im Jahre 1863 hielt Stenzler als Rektor der Universität am Geburtstag des Königs eine Rede
Adolf Holtzmann the Elder	position_at	University of Heidelberg	Professor der deutschen Literatur und des Sanskrit	1852	1870	True	Windisch GSP	gestorben 1870 als Professor der deutschen Literatur und des Sanskrit in Heidelberg... Die Professur in Heidelberg erhielt er 1852.
Adolf Holtzmann the Younger	position_at	University of Freiburg	Professor des Sanskrit		1914	True	Windisch GSP	gestorben als Professor des Sanskrit in Freiburg 1914
Adolphe Regnier	position_at	Collège de France	Professur für éloquence latine			True	Windisch GSP	dessen Nachfolger in der Professur für »éloquence latine« am Collège de France er wurde.
Agathon Benary	position_at	Köllnisches Gymnasium	Professor			True	Windisch GSP	Agathon Benary, Professor am Köllnischen Gymnasium in Berlin
Albert Hoefer	position_at	University of Greifswald	Professor		1883	True	Windisch GSP	geboren 1812 in Greifswald, gestorben 1883 als Professor an der dortigen Universität.
Albrecht Weber	position_at	Prussian Academy of Sciences				True	Windisch GSP	Pischel wurde Webers Nachfolger an der Universität und in der Akademie zu Berlin.
Albrecht Weber	position_at	University of Berlin	Privatdozent; außerordentlicher Professor; ordentlicher Professor der altindischen Sprache und Literatur	1848	1901	True	Windisch GSP	habilitierte sich 1848 an der Universität zu Berlin
Alexander Hamilton	position_at	East India Company College	Professor des Sanskrit und der Hindu-Literatur	1808		True	Windisch GSP	war von 1808 an Professor des Sanskrit und der Hindu-Literatur an dem Haileybury College.
Alexander Johnston	position_at	Council of Ceylon	chief justice and first member of his majesty's council			True	Windisch GSP	Auf Ceylon hatte Sir Alexander Johnston, "chief justice and first member of his majesty's council"
Alexander Johnston	position_at	Supreme Court of Ceylon	Chief Justice			True	Windisch GSP	Sir Alexander Johnston (hier Johnson genannt), Chief Justice on the island of Ceylon
Alexandre Langlois	position_at	Académie des Inscriptions et Belles-Lettres	Mitglied		1854	True	Windisch GSP	gestorben 1854 als Mitglied der Académie des Inscriptions et Belles Lettres
Alfred Ludwig	position_at	University of Prague	außerordentlicher Professor der klassischen Philologie und der Vergleichenden Sprachenkunde; ordentlicher Professor der Vergleichenden Sprachenkunde	1860	1912	True	Windisch GSP	Schon 1860 wurde er als außerordentlicher Professor der klassischen Philologie und der Vergleichenden Sprachenkunde nach Prag berufen
Alfred Ludwig	position_at	University of Vienna	Habilitation für klassische Philologie	1858		True	Windisch GSP	Im Jahre 1858 habilitierte er sich in Wien für klassische Philologie
Andrew Stirling	position_at	Political Department, East India Company		1813	1830	True	Windisch GSP	A. Stirling war geboren um 1793, ging 1813 nach Indien, war im Political Department tätig, und ist gestorben 1830 in Calcutta.
Angelo De Gubernatis	position_at	Asiatic Society of Bengal	Ehrenmitglied			True	Windisch GSP	wohnte dann einer Sitzung der Asiatic Society bei... und zum Ehrenmitglied ernannt wurde.
Angelo De Gubernatis	position_at	Istituto di Studi Superiori di Firenze	Professor des Sanskrit und der Vergleichenden Sprachwissenschaft	1863		True	Windisch GSP	Von 1863 an war er lange Zeit Professor des Sanskrit und der Vergleichenden Sprachwissenschaft am Istituto dei Studi Superiori in Florenz
Angelo De Gubernatis	position_at	University of Rome	Professor des Sanskrit und der italienischen Literatur	1890		True	Windisch GSP	Im Jahre 1890 wurde er nach Rom als Professor des Sanskrit und der italienischen Literatur berufen.
Antoine-Isaac Silvestre de Sacy	position_at	Société Asiatique	Vorsitzender	1822		True	Windisch GSP	am 1. April 1822 unter dem Vorsitz Silvestre de Sacys gegründeten Société Asiatique in Paris
Antoine-Louis Henri de Polier	position_at	East India Company	Colonel			True	Windisch GSP	Schweizers de Polier aus Lausanne, der lange Zeit im Dienste der East India Company gestanden hatte
Antoine-Léonard de Chézy	position_at	Collège de France	Professor der Indischen Sprache; Professor des Sanskrit	1815		True	Windisch GSP; Winternitz GIL 1	Chézy, geboren 1773, gestorben 1832, wurde erst später zum Professor des Sanskrit am Collège de France ernannt und begann seine Vorlesungen im Januar 1815
Anton Boller	position_at	University of Vienna	Dozent, außerordentlicher Professor, ordentlicher Professor	1845	1869	True	Windisch GSP	Sanskrit lehrte er in Wien von 1845 an, 1850 wurde er außerordentlicher, 1855 ordentlicher Professor der vergleichenden Sprachwissenschaft und des Sanskrit.
